playerName,match_id,team,total_actions,min_minute,max_minute,minutes_played_approx,matches_played,passes_attempted,passes_completed,avg_pass_distance,assists,key_passes,pass_completion_rate,goals,shots_total,shots_on_target,defensive_actions,avg_x_position,avg_y_position,primary_zone,shot_conversion_rate,shots_on_target_rate
B. Cremaschi,9w8deaiy5uf0ih5oc7qhz3mc,Inter Miami,69,0,70,70,1,43,40,15.811627906976744,0,0,0.93,0,0,0,0,47.452173913043474,58.45942028985507,Back,0.0,0.0
B. Cremaschi,byf955io6xgvf7su9y47ronx0,Inter Miami,31,66,98,32,1,20,16,12.254999999999999,0,0,0.8,0,0,0,1,48.670967741935485,35.00645161290323,Back,0.0,0.0
B. Cremaschi,c1tdm3jz5an27cuz78xy86vpw,Inter Miami,8,87,96,9,1,2,2,14.6,0,0,1.0,0,0,0,2,34.175,37.1125,Back,0.0,0.0
B. Cremaschi,c6vrgv87dm72s2y40q3ttva50,Inter Miami,29,74,92,18,1,15,14,14.886666666666667,0,0,0.933,1,1,1,1,44.813793103448276,32.11724137931034,Center,1.0,1.0
B. Cremaschi,cb9006cs9kehwz8ap1ck5yuxg,Inter Miami,27,65,94,29,1,17,14,10.100000000000001,0,0,0.824,0,0,0,1,43.65555555555556,28.6037037037037,Back,0.0,0.0
B. Cremaschi,cfy4ashpksik9xzjedz5452xg,Inter Miami,69,0,71,71,1,51,45,14.186274509803921,0,0,0.882,1,1,1,2,41.48985507246377,33.96811594202899,Back,1.0,1.0
B. Cremaschi,ckmcmqo8boll33tc61hjgzfo4,Inter Miami,78,1,79,78,1,44,41,14.729545454545455,0,0,0.932,0,1,0,6,47.27307692307693,55.73076923076923,Back,0.0,0.0
B. Cremaschi,coxsvcbbbjq4d8wd51q299rtg,Inter Miami,55,0,56,56,1,28,22,11.664285714285715,0,0,0.786,0,1,1,4,44.443636363636365,29.065454545454543,Back,0.0,1.0
B. Cremaschi,cwzw5swiesqr3ydy2yvam2xw4,Inter Miami,40,1,64,63,1,22,17,13.895454545454545,0,2,0.773,0,1,1,3,44.5625,69.45,Back,0.0,1.0
B. Cremaschi,d2pikh7uihqma5tcma5kgqt5g,Inter Miami,84,29,94,65,1,46,39,12.945652173913043,0,0,0.848,0,1,1,5,44.017857142857146,29.509523809523813,Back,0.0,1.0
B. Cremaschi,da10g1075djkp576blwf02ot0,Inter Miami,96,0,97,97,1,48,42,15.091666666666667,1,1,0.875,0,4,1,3,52.88645833333334,63.45208333333333,Back,0.0,0.25
B. Cremaschi,ddekboxnr2o38pdizzdu85kb8,Inter Miami,77,1,91,90,1,44,34,16.259090909090908,0,1,0.773,0,1,0,4,46.58701298701298,38.23766233766234,Back,0.0,0.0
B. Cremaschi,dlgkjhvgnhkv4djzghrmg9hw,Inter Miami,71,0,86,86,1,42,39,15.600000000000001,0,1,0.929,1,2,2,5,59.53239436619719,61.53802816901408,Center,0.5,1.0
B. Cremaschi,do4qxfxt0q5pw0jd01cnrpd78,Inter Miami,74,0,94,94,1,45,38,14.435555555555556,0,2,0.844,0,1,1,1,56.49864864864865,51.939189189189186,Center,0.0,1.0
B. Cremaschi,dq4r9bl2r9hs0m18ya67hyq6s,Inter Miami,55,5,89,84,1,30,25,15.256666666666666,0,1,0.833,1,2,1,4,47.42,42.14909090909091,Back,0.5,0.5
B. Cremaschi,duikvoxe3gtbkfy24xuiy6nf8,Inter Miami,54,0,78,78,1,29,27,13.958620689655174,0,1,0.931,0,0,0,0,49.81111111111112,66.09629629629629,Back,0.0,0.0
B. Cremaschi,edzhg7z0eusmz6th473w1f1g4,Inter Miami,10,68,90,22,1,6,5,26.25,0,0,0.833,0,0,0,0,44.980000000000004,28.8,Back,0.0,0.0
B. Cremaschi,el0tqopdgbrk2t0qrb9b8brx0,Inter Miami,26,72,98,26,1,9,9,17.711111111111112,0,0,1.0,0,0,0,1,45.25384615384615,53.43076923076923,Back,0.0,0.0
B. Cremaschi,eppstv8yepw0feyhm7d7sxvkk,Inter Miami,16,79,98,19,1,6,4,14.15,0,0,0.667,0,0,0,0,40.30625,70.1875,Back,0.0,0.0
B. Cremaschi,ete2n98x12os61ima2z2eb8k4,Inter Miami,61,0,95,95,1,42,39,14.859523809523811,0,2,0.929,0,0,0,3,45.45737704918033,53.58032786885246,Back,0.0,0.0
B. Cremaschi,f20c2s8dgvew3tjalw8rcohec,Inter Miami,7,80,90,10,1,3,3,21.066666666666666,0,0,1.0,0,1,1,0,52.05714285714286,13.5,Center,0.0,1.0
B. Cremaschi,f3dhoiulp1kcatx9kog50j28k,Inter Miami,18,92,100,8,1,12,12,11.983333333333334,0,0,1.0,0,1,0,1,55.97777777777778,40.5,Center,0.0,0.0
C. dos Santos,bipgf5sgxyyiuukfq8aebsglw,Inter Miami,48,0,93,93,1,36,33,26.702777777777776,0,0,0.917,0,0,0,0,11.277083333333332,52.06041666666667,Back,0.0,0.0
D. Callender,2sxfrjdudoknsnmimee3zvo4,Inter Miami,57,5,98,93,1,38,27,32.41842105263158,0,0,0.711,0,0,0,0,10.521052631578948,48.545614035087716,Back,0.0,0.0
D. Callender,ay6myrdic7bsjp8ooflsqra50,Inter Miami,44,0,93,93,1,29,24,25.53103448275862,0,0,0.828,0,0,0,1,7.418181818181818,52.622727272727275,Back,0.0,0.0
D. Callender,b46l3cvyvfs72fien9ikexel0,Inter Miami,44,0,97,97,1,25,24,22.715999999999998,0,0,0.96,0,0,0,0,5.822727272727272,50.43181818181818,Back,0.0,0.0
D. Callender,b56dxdoyl4r6xmsx4d81rd7h0,Inter Miami,42,6,88,82,1,32,26,23.903125,0,0,0.812,0,0,0,1,6.788095238095239,50.2547619047619,Back,0.0,0.0
D. Callender,bdfjn1p7xzvv8y1scnapo8u1g,Inter Miami,18,0,99,99,1,10,10,24.61,0,0,1.0,0,0,0,0,9.45,48.05555555555556,Back,0.0,0.0
D. Callender,be59y7ozml1e9bp99gudz26tw,Inter Miami,75,1,96,95,1,41,25,36.136585365853655,0,0,0.61,0,0,0,2,8.153333333333334,49.55066666666667,Back,0.0,0.0
D. Callender,bo2j3mnedzz5ogqlyifb8a710,Inter Miami,50,2,98,96,1,36,30,25.683333333333334,0,0,0.833,0,0,0,2,11.99,48.023999999999994,Back,0.0,0.0
D. Callender,bsfgyblk548coooab3nldi784,Inter Miami,36,7,95,88,1,24,16,38.74166666666667,0,0,0.667,0,0,0,0,8.830555555555556,49.105555555555554,Back,0.0,0.0
D. Callender,byf955io6xgvf7su9y47ronx0,Inter Miami,54,3,98,95,1,39,30,27.005128205128205,0,0,0.769,0,0,0,0,12.366666666666665,49.51296296296296,Back,0.0,0.0
D. Callender,c1tdm3jz5an27cuz78xy86vpw,Inter Miami,70,0,96,96,1,44,33,28.41590909090909,0,0,0.75,0,0,0,1,8.15857142857143,50.981428571428566,Back,0.0,0.0
D. Callender,c6vrgv87dm72s2y40q3ttva50,Inter Miami,31,5,94,89,1,27,25,21.1037037037037,0,0,0.926,0,0,0,0,7.570967741935483,49.03548387096774,Back,0.0,0.0
D. Callender,cb9006cs9kehwz8ap1ck5yuxg,Inter Miami,60,1,96,95,1,42,34,22.030952380952378,0,0,0.81,0,0,0,1,8.198333333333332,50.080000000000005,Back,0.0,0.0
D. Callender,cfy4ashpksik9xzjedz5452xg,Inter Miami,53,0,96,96,1,33,22,29.25151515151515,0,0,0.667,0,0,0,2,6.577358490566037,47.73207547169812,Back,0.0,0.0
D. Callender,ckmcmqo8boll33tc61hjgzfo4,Inter Miami,40,1,95,94,1,29,26,27.12758620689655,0,0,0.897,0,0,0,0,6.967499999999999,51.692499999999995,Back,0.0,0.0
D. Callender,coxsvcbbbjq4d8wd51q299rtg,Inter Miami,44,0,99,99,1,27,21,25.47407407407407,0,0,0.778,0,0,0,0,10.950000000000001,48.64772727272727,Back,0.0,0.0
D. Callender,cwzw5swiesqr3ydy2yvam2xw4,Inter Miami,53,0,97,97,1,41,34,29.553658536585367,0,0,0.829,0,0,0,0,9.211320754716981,50.86415094339623,Back,0.0,0.0
D. Callender,cxzecf9qypdtwu2zgjw90tuz8,Inter Miami,29,5,96,91,1,18,18,22.02777777777778,0,0,1.0,0,0,0,0,6.310344827586207,50.1448275862069,Back,0.0,0.0
D. Callender,d2pikh7uihqma5tcma5kgqt5g,Inter Miami,67,0,94,94,1,47,40,23.121276595744682,0,0,0.851,0,0,0,0,7.883582089552239,49.55820895522388,Back,0.0,0.0
D. Callender,da10g1075djkp576blwf02ot0,Inter Miami,52,0,99,99,1,40,32,33.394999999999996,0,0,0.8,0,0,0,1,8.60576923076923,46.236538461538466,Back,0.0,0.0
D. Callender,ddekboxnr2o38pdizzdu85kb8,Inter Miami,40,3,94,91,1,26,20,30.803846153846152,0,0,0.769,0,0,0,0,6.815,50.8425,Back,0.0,0.0
D. Callender,dlgkjhvgnhkv4djzghrmg9hw,Inter Miami,32,6,91,85,1,26,25,26.307692307692307,0,0,0.962,0,0,0,0,11.38125,49.228125,Back,0.0,0.0
D. Callender,do4qxfxt0q5pw0jd01cnrpd78,Inter Miami,48,4,96,92,1,32,22,30.88125,0,0,0.688,0,0,0,0,10.21875,49.92083333333333,Back,0.0,0.0
D. Callender,dq4r9bl2r9hs0m18ya67hyq6s,Inter Miami,65,2,98,96,1,48,43,24.325,0,0,0.896,0,0,0,0,8.678461538461539,49.58615384615384,Back,0.0,0.0
D. Callender,duikvoxe3gtbkfy24xuiy6nf8,Inter Miami,46,0,81,81,1,29,22,26.57241379310345,0,0,0.759,0,0,0,1,9.554347826086957,49.01521739130435,Back,0.0,0.0
D. Callender,e4wnse667o2jzwpnq194v19n8,Inter Miami,51,2,95,93,1,34,29,26.311764705882354,0,0,0.853,0,0,0,0,8.052941176470588,49.800000000000004,Back,0.0,0.0
D. Callender,e8wyyiyq7fpikh679ufiez47o,Inter Miami,65,1,95,94,1,46,42,24.065217391304348,0,0,0.913,0,0,0,2,11.641538461538461,51.255384615384614,Back,0.0,0.0
D. Callender,edzhg7z0eusmz6th473w1f1g4,Inter Miami,79,5,91,86,1,52,29,36.353846153846156,0,0,0.558,0,0,0,1,9.349367088607595,51.05822784810127,Back,0.0,0.0
D. Callender,el0tqopdgbrk2t0qrb9b8brx0,Inter Miami,58,2,97,95,1,42,36,27.85238095238095,0,0,0.857,0,0,0,0,7.917241379310345,50.179310344827584,Back,0.0,0.0
D. Callender,eppstv8yepw0feyhm7d7sxvkk,Inter Miami,74,0,96,96,1,44,37,22.89090909090909,0,0,0.841,0,0,0,0,10.035135135135135,49.839189189189185,Back,0.0,0.0
D. Callender,ete2n98x12os61ima2z2eb8k4,Inter Miami,60,1,94,93,1,41,35,23.909756097560976,0,0,0.854,0,0,0,1,8.941666666666666,47.58833333333334,Back,0.0,0.0
D. Callender,f20c2s8dgvew3tjalw8rcohec,Inter Miami,84,1,90,89,1,55,47,28.087272727272726,0,0,0.855,0,0,0,2,9.994047619047619,50.40833333333334,Back,0.0,0.0
D. Callender,f3dhoiulp1kcatx9kog50j28k,Inter Miami,23,3,99,96,1,19,18,23.647368421052633,0,0,0.947,0,0,0,0,8.730434782608695,51.38260869565217,Back,0.0,0.0
D. Gómez,2sxfrjdudoknsnmimee3zvo4,Inter Miami,75,0,86,86,1,47,41,13.2,0,0,0.872,0,0,0,3,55.756,71.12133333333334,Back,0.0,0.0
D. Gómez,9w8deaiy5uf0ih5oc7qhz3mc,Inter Miami,14,79,94,15,1,7,7,13.214285714285714,0,0,1.0,0,0,0,0,51.01428571428572,63.5,Back,0.0,0.0
D. Gómez,ay6myrdic7bsjp8ooflsqra50,Inter Miami,94,0,92,92,1,41,34,15.651219512195123,0,2,0.829,1,3,2,11,50.31276595744681,62.64787234042553,Back,0.333,0.667
D. Gómez,b46l3cvyvfs72fien9ikexel0,Inter Miami,69,3,83,80,1,37,30,14.210810810810809,0,0,0.811,0,2,2,5,56.63913043478261,68.01014492753623,Center,0.0,1.0
D. Gómez,b56dxdoyl4r6xmsx4d81rd7h0,Inter Miami,79,0,78,78,1,38,34,17.5,0,0,0.895,0,0,0,5,41.44303797468354,64.42784810126582,Back,0.0,0.0
D. Gómez,bdfjn1p7xzvv8y1scnapo8u1g,Inter Miami,21,65,99,34,1,17,13,23.541176470588233,0,0,0.765,0,0,0,0,56.17619047619048,51.061904761904756,Center,0.0,0.0
D. Gómez,be59y7ozml1e9bp99gudz26tw,Inter Miami,86,2,94,92,1,36,28,19.655555555555555,0,1,0.778,0,0,0,9,56.29883720930232,57.27906976744186,Center,0.0,0.0
D. Gómez,bo2j3mnedzz5ogqlyifb8a710,Inter Miami,93,0,96,96,1,46,34,15.66304347826087,0,3,0.739,0,1,0,6,54.60645161290322,56.19139784946237,Center,0.0,0.0
D. Gómez,bsfgyblk548coooab3nldi784,Inter Miami,53,41,95,54,1,28,21,14.15,0,0,0.75,0,1,1,2,49.0245283018868,63.735849056603776,Back,0.0,1.0
D. Gómez,byf955io6xgvf7su9y47ronx0,Inter Miami,90,0,92,92,1,49,44,12.83061224489796,1,0,0.898,1,2,2,4,57.621111111111105,71.32111111111111,Center,0.5,1.0
D. Gómez,c1tdm3jz5an27cuz78xy86vpw,Inter Miami,35,0,40,40,1,15,9,13.386666666666667,0,2,0.6,0,0,0,1,57.114285714285714,67.00857142857143,Center,0.0,0.0
D. Gómez,dlgkjhvgnhkv4djzghrmg9hw,Inter Miami,31,57,92,35,1,21,19,14.399999999999999,0,1,0.905,0,1,1,1,53.248387096774195,57.88387096774194,Center,0.0,1.0
D. Gómez,do4qxfxt0q5pw0jd01cnrpd78,Inter Miami,56,1,78,77,1,23,17,14.6,0,0,0.739,0,4,3,3,56.78928571428571,68.03928571428571,Center,0.0,0.75
D. Gómez,dq4r9bl2r9hs0m18ya67hyq6s,Inter Miami,73,0,97,97,1,42,37,17.235714285714284,0,0,0.881,0,2,2,3,45.45068493150685,56.13013698630137,Back,0.0,1.0
D. Gómez,e4wnse667o2jzwpnq194v19n8,Inter Miami,46,0,79,79,1,18,10,14.788888888888888,1,0,0.556,1,2,2,2,61.85,75.01739130434783,Back,0.5,1.0
D. Gómez,edzhg7z0eusmz6th473w1f1g4,Inter Miami,57,0,85,85,1,21,19,13.633333333333335,0,0,0.905,0,1,0,7,44.29298245614035,65.32280701754387,Back,0.0,0.0
D. Gómez,el0tqopdgbrk2t0qrb9b8brx0,Inter Miami,74,0,90,90,1,36,26,15.18611111111111,1,2,0.722,0,2,0,6,48.020270270270274,66.41891891891892,Back,0.0,0.0
D. Gómez,eppstv8yepw0feyhm7d7sxvkk,Inter Miami,67,2,79,77,1,45,37,15.30888888888889,0,0,0.822,0,0,0,1,54.62985074626865,67.34925373134328,Center,0.0,0.0
D. Gómez,f3dhoiulp1kcatx9kog50j28k,Inter Miami,78,1,92,91,1,37,28,15.564864864864864,0,1,0.757,0,2,2,2,62.18846153846154,66.28717948717949,Center,0.0,1.0
D. Martínez,dlgkjhvgnhkv4djzghrmg9hw,Inter Miami,100,0,86,86,1,80,70,23.4075,1,0,0.875,0,0,0,4,36.186,75.82600000000001,Back,0.0,0.0
D. Martínez,edzhg7z0eusmz6th473w1f1g4,Inter Miami,71,0,88,88,1,41,36,22.18536585365854,0,1,0.878,0,0,0,13,28.935211267605634,72.52112676056338,Back,0.0,0.0
D. Martínez,el0tqopdgbrk2t0qrb9b8brx0,Inter Miami,112,0,98,98,1,72,61,22.170833333333334,0,0,0.847,0,0,0,14,28.92142857142857,73.27499999999999,Back,0.0,0.0
D. Martínez,eppstv8yepw0feyhm7d7sxvkk,Inter Miami,21,0,14,14,1,12,9,19.058333333333334,0,0,0.75,0,0,0,1,32.4,73.34285714285714,Back,0.0,0.0
D. Ruíz,2sxfrjdudoknsnmimee3zvo4,Inter Miami,22,68,99,31,1,9,8,11.100000000000001,0,0,0.889,0,1,1,2,49.32272727272727,31.58181818181818,Back,0.0,1.0
D. Ruíz,9w8deaiy5uf0ih5oc7qhz3mc,Inter Miami,50,0,60,60,1,34,30,15.25294117647059,0,0,0.882,0,0,0,1,40.676,43.592,Back,0.0,0.0
D. Ruíz,ay6myrdic7bsjp8ooflsqra50,Inter Miami,13,75,93,18,1,10,10,17.509999999999998,0,0,1.0,0,0,0,1,39.89999999999999,45.56153846153846,Back,0.0,0.0
D. Ruíz,b46l3cvyvfs72fien9ikexel0,Inter Miami,33,66,96,30,1,20,17,13.09,0,1,0.85,0,0,0,2,54.79090909090909,73.84545454545454,Left,0.0,0.0
D. Ruíz,b56dxdoyl4r6xmsx4d81rd7h0,Inter Miami,27,66,91,25,1,15,13,12.006666666666666,0,0,0.867,0,0,0,3,46.11851851851852,42.770370370370365,Back,0.0,0.0
D. Ruíz,bdfjn1p7xzvv8y1scnapo8u1g,Inter Miami,108,1,99,98,1,65,50,14.529230769230768,0,0,0.769,0,1,1,5,58.833333333333336,15.400925925925925,Back,0.0,1.0
D. Ruíz,be59y7ozml1e9bp99gudz26tw,Inter Miami,69,1,98,97,1,42,36,16.964285714285715,0,1,0.857,0,1,0,4,40.63913043478261,15.865217391304348,Back,0.0,0.0
D. Ruíz,bo2j3mnedzz5ogqlyifb8a710,Inter Miami,71,0,97,97,1,37,36,14.68918918918919,0,0,0.973,0,2,1,2,58.292957746478876,40.39718309859155,Center,0.0,0.5
D. Ruíz,bsfgyblk548coooab3nldi784,Inter Miami,93,1,96,95,1,52,42,13.090384615384616,1,0,0.808,0,1,0,12,47.28279569892473,20.967741935483872,Back,0.0,0.0
D. Ruíz,byf955io6xgvf7su9y47ronx0,Inter Miami,80,0,96,96,1,50,49,14.072000000000001,1,0,0.98,0,0,0,4,52.38875,71.08375,Back,0.0,0.0
D. Ruíz,c1tdm3jz5an27cuz78xy86vpw,Inter Miami,65,0,96,96,1,41,33,16.907317073170734,0,0,0.805,0,0,0,4,41.75846153846154,59.24923076923076,Back,0.0,0.0
D. Ruíz,c6vrgv87dm72s2y40q3ttva50,Inter Miami,89,0,93,93,1,53,48,15.377358490566039,0,1,0.906,0,0,0,3,54.70561797752809,67.04606741573033,Back,0.0,0.0
D. Ruíz,cb9006cs9kehwz8ap1ck5yuxg,Inter Miami,46,1,45,44,1,29,25,13.39655172413793,0,0,0.862,0,0,0,3,40.70652173913044,62.29130434782609,Back,0.0,0.0
D. Ruíz,cfy4ashpksik9xzjedz5452xg,Inter Miami,20,71,92,21,1,13,11,15.776923076923076,0,0,0.846,0,0,0,0,41.864999999999995,36.93,Back,0.0,0.0
D. Ruíz,ckmcmqo8boll33tc61hjgzfo4,Inter Miami,11,79,94,15,1,5,5,15.180000000000001,0,0,1.0,0,0,0,1,35.82727272727273,50.972727272727276,Back,0.0,0.0
D. Ruíz,coxsvcbbbjq4d8wd51q299rtg,Inter Miami,26,81,97,16,1,13,11,21.53076923076923,0,0,0.846,0,1,0,0,49.715384615384615,63.56153846153846,Center,0.0,0.0
D. Ruíz,cwzw5swiesqr3ydy2yvam2xw4,Inter Miami,21,81,96,15,1,5,3,12.120000000000001,0,0,0.6,0,1,1,4,28.704761904761902,40.29047619047619,Back,0.0,1.0
